"customerid","age","gender","Marital Status","income","transactionid","Date","productid","price","qty","totalamount","storeid","storename","groupstore","Type","latitude","longitude","Product Name"
21,52,0,Married,"12,72",TR46171,"03/01/2022",P10,15000,3,45000,10,Harapan Baru,Harapan Baru,General Trade,"3,597031","98,678513",Cheese Stick
106,24,0,Single,"6,79",TR54686,"03/01/2022",P2,3200,5,16000,10,Harapan Baru,Harapan Baru,General Trade,"3,597031","98,678513",Ginger Candy 
202,28,0,Married,"4,53",TR74189,"03/01/2022",P7,9400,3,28200,10,Harapan Baru,Harapan Baru,General Trade,"3,597031","98,678513",Coffee Candy
45,53,0,Married,"9,25",TR86483,"03/01/2022",P8,16000,3,48000,12,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554",Oat
202,28,0,Married,"4,53",TR9341,"03/01/2022",P7,9400,5,47000,14,Priangan,Priangan,Modern Trade,"-5,45","105,26667",Coffee Candy
311,61,1,Married,"7,64",TR14593,"04/01/2022",P6,18000,4,72000,9,Lingga,Lingga,Modern Trade,"-3,654703","128,190643",Cashew
136,28,1,Married,"2,96",TR14970,"04/01/2022",P10,15000,1,15000,6,Lingga,Lingga,Modern Trade,"-5,135399","119,42379",Cheese Stick
23,57,1,Married,"12,56",TR2102,"04/01/2022",P5,4200,4,16800,14,Priangan,Priangan,Modern Trade,"-5,45","105,26667",Thai Tea
194,31,1,Married,"4,33",TR22313,"04/01/2022",P2,3200,4,12800,2,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238",Ginger Candy 
243,38,0,Married,"3,34",TR37381,"04/01/2022",P10,15000,2,30000,7,Buana Indah,Buana,General Trade,"3,316694","114,590111",Cheese Stick
78,41,1,Married,"10,34",TR41140,"04/01/2022",P9,10000,2,20000,14,Priangan,Priangan,Modern Trade,"-5,45","105,26667",Yoghurt
351,45,1,Married,"18,34",TR45300,"04/01/2022",P6,18000,4,72000,11,Sinar Harapan,Prestasi,General Trade,"0,533505","101,447403",Cashew
117,45,1,Married,"12,55",TR48461,"04/01/2022",P5,4200,2,8400,1,Prima Tendean,Prima,Modern Trade,"-6,2","106,816666",Thai Tea
189,59,1,Single,"5,15",TR49210,"04/01/2022",P4,12000,1,12000,7,Buana Indah,Buana,General Trade,"3,316694","114,590111",Potato Chip
304,34,0,Single,"8,55",TR50516,"04/01/2022",P10,15000,2,30000,1,Prima Tendean,Prima,Modern Trade,"-6,2","106,816666",Cheese Stick
433,48,1,Married,"11,97",TR51256,"04/01/2022",P9,10000,1,10000,4,Gita Ginara,Gita,General Trade,"-6,966667","110,416664",Yoghurt
157,44,0,Single,"2,52",TR57427,"04/01/2022",P5,4200,3,12600,5,Bonafid,Gita,General Trade,"-7,250445","112,768845",Thai Tea
117,45,1,Married,"12,55",TR64821,"04/01/2022",P3,7500,1,7500,2,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238",Crackers
36,32,1,Married,"10,4",TR68280,"04/01/2022",P8,16000,1,16000,12,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554",Oat
403,30,0,Married,"4,06",TR86686,"04/01/2022",P5,4200,2,8400,1,Prima Tendean,Prima,Modern Trade,"-6,2","106,816666",Thai Tea
62,51,1,Married,"13,62",TR88044,"04/01/2022",P5,4200,5,21000,1,Prima Tendean,Prima,Modern Trade,"-6,2","106,816666",Thai Tea
440,40,0,Married,"3,47",TR90452,"04/01/2022",P2,3200,5,16000,11,Sinar Harapan,Prestasi,General Trade,"0,533505","101,447403",Ginger Candy 
355,19,1,Single,"0",TR98969,"04/01/2022",P8,16000,1,16000,4,Gita Ginara,Gita,General Trade,"-6,966667","110,416664",Oat
22,34,0,Single,"9,91",TR10602,"05/01/2022",P5,4200,3,12600,11,Sinar Harapan,Prestasi,General Trade,"0,533505","101,447403",Thai Tea
182,44,1,Married,"14,57",TR24114,"05/01/2022",P8,16000,1,16000,4,Gita Ginara,Gita,General Trade,"-6,966667","110,416664",Oat
167,28,1,Married,"2,91",TR35280,"05/01/2022",P9,10000,1,10000,2,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238",Yoghurt
297,41,1,Married,"12,13",TR36079,"05/01/2022",P5,4200,4,16800,11,Sinar Harapan,Prestasi,General Trade,"0,533505","101,447403",Thai Tea
416,27,1,"","3,43",TR43714,"05/01/2022",P7,9400,2,18800,13,Buana,Buana,General Trade,"-1,26916","116,825264",Coffee Candy
7,31,0,Married,"4,57",TR46041,"05/01/2022",P9,10000,5,50000,8,Sinar Harapan,Harapan Baru,General Trade,"5,54829","95,323753",Yoghurt
304,34,0,Single,"8,55",TR60242,"05/01/2022",P4,12000,1,12000,13,Buana,Buana,General Trade,"-1,26916","116,825264",Potato Chip
278,31,1,Married,"9,76",TR61100,"05/01/2022",P8,16000,2,32000,2,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238",Oat
123,34,0,Married,"4,36",TR61437,"05/01/2022",P1,8800,4,35200,6,Lingga,Lingga,Modern Trade,"-5,135399","119,42379",Choco Bar
22,34,0,Single,"9,91",TR84132,"05/01/2022",P9,10000,7,70000,14,Priangan,Priangan,Modern Trade,"-5,45","105,26667",Yoghurt
67,19,0,Single,"0",TR11638,"06/01/2022",P2,3200,5,16000,12,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554",Ginger Candy 
282,55,0,Married,"11,38",TR20374,"06/01/2022",P2,3200,5,16000,3,Prima Kota,Prima,Modern Trade,"-7,797068","110,370529",Ginger Candy 
84,54,0,Married,"18,12",TR23183,"06/01/2022",P4,12000,4,48000,9,Lingga,Lingga,Modern Trade,"-3,654703","128,190643",Potato Chip
30,37,1,Single,"2,26",TR24126,"06/01/2022",P2,3200,3,9600,3,Prima Kota,Prima,Modern Trade,"-7,797068","110,370529",Ginger Candy 
306,49,0,Married,"16,52",TR32850,"06/01/2022",P2,3200,3,9600,6,Lingga,Lingga,Modern Trade,"-5,135399","119,42379",Ginger Candy 
176,54,1,Married,"18,32",TR40523,"06/01/2022",P3,7500,4,30000,2,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238",Crackers
366,18,0,Single,"0",TR41572,"06/01/2022",P6,18000,3,54000,3,Prima Kota,Prima,Modern Trade,"-7,797068","110,370529",Cashew
438,36,1,Single,"5,43",TR45142,"06/01/2022",P10,15000,4,60000,10,Harapan Baru,Harapan Baru,General Trade,"3,597031","98,678513",Cheese Stick
71,46,0,Married,"12,42",TR73860,"06/01/2022",P4,12000,4,48000,1,Prima Tendean,Prima,Modern Trade,"-6,2","106,816666",Potato Chip
340,41,0,Single,"10,9",TR74469,"06/01/2022",P5,4200,4,16800,4,Gita Ginara,Gita,General Trade,"-6,966667","110,416664",Thai Tea
116,51,1,Married,"15,77",TR77963,"06/01/2022",P3,7500,2,15000,7,Buana Indah,Buana,General Trade,"3,316694","114,590111",Crackers
20,43,0,Married,"18,91",TR81478,"06/01/2022",P5,4200,4,16800,8,Sinar Harapan,Harapan Baru,General Trade,"5,54829","95,323753",Thai Tea
102,39,0,Married,"6,44",TR83042,"06/01/2022",P2,3200,6,19200,10,Harapan Baru,Harapan Baru,General Trade,"3,597031","98,678513",Ginger Candy 
161,41,0,Married,"20,02",TR87914,"06/01/2022",P5,4200,4,16800,9,Lingga,Lingga,Modern Trade,"-3,654703","128,190643",Thai Tea
266,72,1,Married,"4,72",TR92298,"06/01/2022",P2,3200,6,19200,2,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238",Ginger Candy 
84,54,0,Married,"18,12",TR95272,"06/01/2022",P7,9400,3,28200,8,Sinar Harapan,Harapan Baru,General Trade,"5,54829","95,323753",Coffee Candy
240,22,1,Single,"3,33",TR96723,"06/01/2022",P5,4200,4,16800,14,Priangan,Priangan,Modern Trade,"-5,45","105,26667",Thai Tea
264,21,1,Single,"1,12",TR97562,"06/01/2022",P5,4200,3,12600,14,Priangan,Priangan,Modern Trade,"-5,45","105,26667",Thai Tea
43,53,0,Married,"16,64",TR22660,"07/01/2022",P5,4200,3,12600,13,Buana,Buana,General Trade,"-1,26916","116,825264",Thai Tea
189,59,1,Single,"5,15",TR23169,"07/01/2022",P1,8800,7,61600,7,Buana Indah,Buana,General Trade,"3,316694","114,590111",Choco Bar
230,40,1,Married,"4,32",TR28506,"07/01/2022",P9,10000,3,30000,12,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554",Yoghurt
70,30,1,Married,"4,42",TR31932,"07/01/2022",P9,10000,4,40000,7,Buana Indah,Buana,General Trade,"3,316694","114,590111",Yoghurt
311,61,1,Married,"7,64",TR38873,"07/01/2022",P2,3200,6,19200,5,Bonafid,Gita,General Trade,"-7,250445","112,768845",Ginger Candy 
233,43,1,Married,"5,69",TR43744,"07/01/2022",P2,3200,6,19200,8,Sinar Harapan,Harapan Baru,General Trade,"5,54829","95,323753",Ginger Candy 
74,3,1,Married,"5,09",TR60853,"07/01/2022",P2,3200,3,9600,6,Lingga,Lingga,Modern Trade,"-5,135399","119,42379",Ginger Candy 
399,52,1,Single,"33,77",TR73336,"07/01/2022",P8,16000,3,48000,10,Harapan Baru,Harapan Baru,General Trade,"3,597031","98,678513",Oat
43,53,0,Married,"16,64",TR74427,"07/01/2022",P8,16000,2,32000,3,Prima Kota,Prima,Modern Trade,"-7,797068","110,370529",Oat
156,44,0,Married,"3,87",TR23772,"08/01/2022",P10,15000,1,15000,1,Prima Tendean,Prima,Modern Trade,"-6,2","106,816666",Cheese Stick
157,44,0,Single,"2,52",TR36287,"08/01/2022",P7,9400,2,18800,2,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238",Coffee Candy
134,50,0,Married,"18,62",TR40790,"08/01/2022",P7,9400,4,37600,8,Sinar Harapan,Harapan Baru,General Trade,"5,54829","95,323753",Coffee Candy
335,29,1,Single,"4,74",TR4331,"08/01/2022",P3,7500,3,22500,12,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554",Crackers
240,22,1,Single,"3,33",TR43444,"08/01/2022",P4,12000,5,60000,2,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238",Potato Chip
9,33,0,Married,"9,92",TR55617,"08/01/2022",P7,9400,5,47000,9,Lingga,Lingga,Modern Trade,"-3,654703","128,190643",Coffee Candy
344,47,1,Married,"5,63",TR57273,"08/01/2022",P4,12000,1,12000,10,Harapan Baru,Harapan Baru,General Trade,"3,597031","98,678513",Potato Chip
164,18,1,Single,"0",TR648,"08/01/2022",P5,4200,3,12600,5,Bonafid,Gita,General Trade,"-7,250445","112,768845",Thai Tea
12,2,1,Married,"4,94",TR65337,"08/01/2022",P5,4200,3,12600,3,Prima Kota,Prima,Modern Trade,"-7,797068","110,370529",Thai Tea
211,29,0,Married,"3,54",TR6602,"08/01/2022",P8,16000,2,32000,5,Bonafid,Gita,General Trade,"-7,250445","112,768845",Oat
85,59,1,Married,"7,89",TR67501,"08/01/2022",P4,12000,3,36000,13,Buana,Buana,General Trade,"-1,26916","116,825264",Potato Chip
415,44,0,Married,"18,57",TR70157,"08/01/2022",P8,16000,2,32000,4,Gita Ginara,Gita,General Trade,"-6,966667","110,416664",Oat
55,34,1,Married,"8,44",TR84962,"08/01/2022",P3,7500,5,37500,7,Buana Indah,Buana,General Trade,"3,316694","114,590111",Crackers
69,26,0,Single,"2,84",TR89167,"08/01/2022",P1,8800,5,44000,10,Harapan Baru,Harapan Baru,General Trade,"3,597031","98,678513",Choco Bar
162,49,0,Married,"11,46",TR90471,"08/01/2022",P3,7500,3,22500,3,Prima Kota,Prima,Modern Trade,"-7,797068","110,370529",Crackers
307,31,0,Married,"5,22",TR14091,"09/01/2022",P1,8800,5,44000,11,Sinar Harapan,Prestasi,General Trade,"0,533505","101,447403",Choco Bar
140,54,0,Married,"9,57",TR28270,"09/01/2022",P2,3200,7,22400,3,Prima Kota,Prima,Modern Trade,"-7,797068","110,370529",Ginger Candy 
170,36,0,Married,"7,55",TR48974,"09/01/2022",P10,15000,1,15000,9,Lingga,Lingga,Modern Trade,"-3,654703","128,190643",Cheese Stick
354,53,1,Married,"16,94",TR52493,"09/01/2022",P8,16000,1,16000,11,Sinar Harapan,Prestasi,General Trade,"0,533505","101,447403",Oat
135,41,0,Married,"3,28",TR52613,"09/01/2022",P5,4200,3,12600,9,Lingga,Lingga,Modern Trade,"-3,654703","128,190643",Thai Tea
137,34,1,Married,"6,36",TR53447,"09/01/2022",P2,3200,4,12800,5,Bonafid,Gita,General Trade,"-7,250445","112,768845",Ginger Candy 
62,51,1,Married,"13,62",TR5513,"09/01/2022",P4,12000,4,48000,2,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238",Potato Chip
241,24,1,Single,"0,57",TR76965,"09/01/2022",P1,8800,8,70400,3,Prima Kota,Prima,Modern Trade,"-7,797068","110,370529",Choco Bar
269,39,1,Married,"6,3",TR80326,"09/01/2022",P8,16000,1,16000,2,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238",Oat
340,41,0,Single,"10,9",TR858,"09/01/2022",P8,16000,2,32000,14,Priangan,Priangan,Modern Trade,"-5,45","105,26667",Oat
415,44,0,Married,"18,57",TR8878,"09/01/2022",P5,4200,3,12600,9,Lingga,Lingga,Modern Trade,"-3,654703","128,190643",Thai Tea
178,43,0,Married,"9,58",TR89449,"09/01/2022",P5,4200,2,8400,11,Sinar Harapan,Prestasi,General Trade,"0,533505","101,447403",Thai Tea
385,41,1,Married,"15,84",TR91332,"09/01/2022",P9,10000,1,10000,10,Harapan Baru,Harapan Baru,General Trade,"3,597031","98,678513",Yoghurt
241,24,1,Single,"0,57",TR91669,"09/01/2022",P5,4200,5,21000,2,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238",Thai Tea
13,23,0,Single,"2,03",TR3291,"10/01/2022",P4,12000,5,60000,14,Priangan,Priangan,Modern Trade,"-5,45","105,26667",Potato Chip
17,35,0,Married,"3,14",TR45059,"10/01/2022",P1,8800,6,52800,9,Lingga,Lingga,Modern Trade,"-3,654703","128,190643",Choco Bar
122,26,1,Single,"0,14",TR47932,"10/01/2022",P7,9400,3,28200,7,Buana Indah,Buana,General Trade,"3,316694","114,590111",Coffee Candy
446,57,0,Married,"7,81",TR57616,"10/01/2022",P1,8800,7,61600,2,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238",Choco Bar
321,45,0,Married,"8,03",TR59952,"10/01/2022",P4,12000,5,60000,14,Priangan,Priangan,Modern Trade,"-5,45","105,26667",Potato Chip
181,33,1,Married,"9,94",TR6445,"10/01/2022",P3,7500,4,30000,12,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554",Crackers
23,57,1,Married,"12,56",TR69307,"10/01/2022",P8,16000,1,16000,1,Prima Tendean,Prima,Modern Trade,"-6,2","106,816666",Oat
108,25,0,Single,"6,87",TR69902,"10/01/2022",P7,9400,2,18800,9,Lingga,Lingga,Modern Trade,"-3,654703","128,190643",Coffee Candy
49,44,1,Married,"13,48",TR7250,"10/01/2022",P1,8800,7,61600,11,Sinar Harapan,Prestasi,General Trade,"0,533505","101,447403",Choco Bar
329,19,1,Single,"0",TR77811,"10/01/2022",P10,15000,2,30000,4,Gita Ginara,Gita,General Trade,"-6,966667","110,416664",Cheese Stick
223,62,1,Single,"5,35",TR80374,"10/01/2022",P8,16000,3,48000,10,Harapan Baru,Harapan Baru,General Trade,"3,597031","98,678513",Oat
246,40,1,Single,"21,81",TR82224,"10/01/2022",P2,3200,3,9600,12,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554",Ginger Candy 
249,47,0,Married,"13,34",TR8236,"10/01/2022",P2,3200,6,19200,7,Buana Indah,Buana,General Trade,"3,316694","114,590111",Ginger Candy 
64,48,1,Married,"7,92",TR8369,"10/01/2022",P3,7500,1,7500,4,Gita Ginara,Gita,General Trade,"-6,966667","110,416664",Crackers
26,45,1,Married,"7,83",TR86436,"10/01/2022",P10,15000,1,15000,14,Priangan,Priangan,Modern Trade,"-5,45","105,26667",Cheese Stick
442,42,1,Married,"14,88",TR88217,"10/01/2022",P9,10000,1,10000,8,Sinar Harapan,Harapan Baru,General Trade,"5,54829","95,323753",Yoghurt
229,32,0,Married,"10,17",TR95284,"10/01/2022",P2,3200,3,9600,2,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238",Ginger Candy 
8,37,1,Married,"5,49",TR18566,"11/01/2022",P3,7500,3,22500,8,Sinar Harapan,Harapan Baru,General Trade,"5,54829","95,323753",Crackers
168,27,0,Married,"4,88",TR23232,"11/01/2022",P2,3200,6,19200,1,Prima Tendean,Prima,Modern Trade,"-6,2","106,816666",Ginger Candy 
256,56,0,Married,"7,09",TR36166,"11/01/2022",P10,15000,5,75000,12,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554",Cheese Stick
196,34,0,Married,"3,17",TR36685,"11/01/2022",P2,3200,6,19200,2,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238",Ginger Candy 
394,50,0,Married,"7,19",TR40960,"11/01/2022",P6,18000,1,18000,4,Gita Ginara,Gita,General Trade,"-6,966667","110,416664",Cashew
329,19,1,Single,"0",TR47732,"11/01/2022",P2,3200,6,19200,4,Gita Ginara,Gita,General Trade,"-6,966667","110,416664",Ginger Candy 
72,26,0,Single,"1,81",TR57918,"11/01/2022",P4,12000,5,60000,6,Lingga,Lingga,Modern Trade,"-5,135399","119,42379",Potato Chip
278,31,1,Married,"9,76",TR59286,"11/01/2022",P7,9400,6,56400,8,Sinar Harapan,Harapan Baru,General Trade,"5,54829","95,323753",Coffee Candy
393,22,0,Single,"0",TR63021,"11/01/2022",P8,16000,1,16000,12,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554",Oat
232,62,0,Married,"7,32",TR64748,"11/01/2022",P5,4200,4,16800,9,Lingga,Lingga,Modern Trade,"-3,654703","128,190643",Thai Tea
339,22,0,Single,"2,19",TR6627,"11/01/2022",P9,10000,6,60000,10,Harapan Baru,Harapan Baru,General Trade,"3,597031","98,678513",Yoghurt
295,34,0,Married,"4,78",TR71791,"11/01/2022",P7,9400,5,47000,3,Prima Kota,Prima,Modern Trade,"-7,797068","110,370529",Coffee Candy
151,42,0,Married,"10,38",TR75052,"11/01/2022",P3,7500,1,7500,2,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238",Crackers
16,52,0,Married,"11,8",TR76046,"11/01/2022",P8,16000,2,32000,1,Prima Tendean,Prima,Modern Trade,"-6,2","106,816666",Oat
312,54,0,Married,"18,77",TR84499,"11/01/2022",P3,7500,3,22500,2,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238",Crackers
145,37,0,Single,"14,59",TR85582,"11/01/2022",P5,4200,4,16800,14,Priangan,Priangan,Modern Trade,"-5,45","105,26667",Thai Tea
244,21,1,Single,"3,64",TR93692,"11/01/2022",P5,4200,5,21000,10,Harapan Baru,Harapan Baru,General Trade,"3,597031","98,678513",Thai Tea
213,24,1,Single,"5,72",TR94450,"11/01/2022",P3,7500,6,45000,4,Gita Ginara,Gita,General Trade,"-6,966667","110,416664",Crackers
347,26,1,Single,"3,69",TR24515,"12/01/2022",P10,15000,2,30000,7,Buana Indah,Buana,General Trade,"3,316694","114,590111",Cheese Stick
287,36,0,Single,"3,7",TR24817,"12/01/2022",P3,7500,1,7500,8,Sinar Harapan,Harapan Baru,General Trade,"5,54829","95,323753",Crackers
135,41,0,Married,"3,28",TR25833,"12/01/2022",P2,3200,4,12800,5,Bonafid,Gita,General Trade,"-7,250445","112,768845",Ginger Candy 
201,57,0,Married,"6,87",TR28633,"12/01/2022",P9,10000,6,60000,2,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238",Yoghurt
52,37,0,Married,"3,73",TR39671,"12/01/2022",P10,15000,2,30000,7,Buana Indah,Buana,General Trade,"3,316694","114,590111",Cheese Stick
342,48,1,Married,"13,55",TR4401,"12/01/2022",P4,12000,5,60000,3,Prima Kota,Prima,Modern Trade,"-7,797068","110,370529",Potato Chip
154,31,0,Married,"8,36",TR49649,"12/01/2022",P10,15000,1,15000,10,Harapan Baru,Harapan Baru,General Trade,"3,597031","98,678513",Cheese Stick
112,31,1,Married,"4,44",TR69772,"12/01/2022",P8,16000,1,16000,5,Bonafid,Gita,General Trade,"-7,250445","112,768845",Oat
301,60,0,Married,"8,97",TR76028,"12/01/2022",P1,8800,8,70400,4,Gita Ginara,Gita,General Trade,"-6,966667","110,416664",Choco Bar
28,55,0,Married,"6,08",TR9420,"12/01/2022",P8,16000,3,48000,9,Lingga,Lingga,Modern Trade,"-3,654703","128,190643",Oat
167,28,1,Married,"2,91",TR94326,"12/01/2022",P9,10000,2,20000,13,Buana,Buana,General Trade,"-1,26916","116,825264",Yoghurt
112,31,1,Married,"4,44",TR17988,"13/01/2022",P6,18000,1,18000,2,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238",Cashew
156,44,0,Married,"3,87",TR23621,"13/01/2022",P7,9400,2,18800,6,Lingga,Lingga,Modern Trade,"-5,135399","119,42379",Coffee Candy
427,54,0,Married,"16,88",TR31421,"13/01/2022",P6,18000,3,54000,2,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238",Cashew
